"","x","fit"
"1",1,0.00235882907279727
"2",2,0.0393475467005279
"3",3,0.121638627351222
"4",4,0.188582651717345
"5",5,0.200308865079642
"6",6,0.167501415079885
"7",7,0.118754503676032
"8",8,0.0746125012163699
"9",9,0.0427462590785085
"10",10,0.0227705186178605
"11",11,0.0114359578075652
"12",12,0.00547084138152279
"13",13,0.00251247912638277
"14",14,0.00111441929502894
"15",15,0.000479709520243614
"16",16,0.000201174543250433
"17",17,8.24532869489404e-05
"18",18,3.31148223591903e-05
"19",19,1.30608276529357e-05
"20",20,5.06827450950777e-06
"21",21,1.93811623843585e-06
"22",22,7.31345582546795e-07
"23",23,2.72648028257962e-07
"24",24,1.00523386845137e-07
"25",25,3.66868247869291e-08
"26",26,1.32641169552601e-08
"27",27,4.75422147251968e-09
"28",28,1.69039186550382e-09
"29",29,5.96550898554312e-10
"30",30,2.09064358339711e-10
"31",31,7.27919692193723e-11
"32",32,2.51905457982144e-11
"33",33,8.66773059060701e-12
"34",34,2.96643896888886e-12
"35",35,1.01009721238149e-12
"36",36,3.42304623482399e-13
"37",37,1.15477690426391e-13
"38",38,3.87903702762502e-14
"39",39,1.29773759544735e-14
"40",40,4.3249017591382e-15
"41",41,1.43606688145752e-15
"42",42,4.75180739349442e-16
"43",43,1.56711188039958e-16
"44",44,5.15186580684685e-17
"45",45,1.68855155731466e-17
"46",46,5.5183234435794e-18
"47",47,1.79844470836377e-18
"48",48,5.84567672145363e-19
"49",49,1.89525557912529e-19
"50",50,6.1297208697227e-20
"51",51,1.97785990055073e-20
"52",52,6.36754182767775e-21
"53",53,2.04553456477307e-21
"54",54,6.55746172204259e-22
"55",55,2.09793430660255e-22
"56",56,6.69894851684839e-23
"57",57,2.13505867789594e-23
"58",58,6.79249990862172e-24
"59",59,2.15721236648548e-24
"60",60,6.83951061534111e-25
"61",61,2.16496157493201e-25
"62",62,6.84213104035721e-26
"63",63,2.15908878268771e-26
"64",64,6.80312401070675e-27
"65",65,2.14054780400162e-27
"66",66,6.7257249909557e-28
"67",67,2.1104206496277e-28
"68",68,6.6135099298142e-29
"69",69,2.06987732172775e-29
"70",70,6.47027375517971e-30
"71",71,2.02013933030429e-30
"72",72,6.29992152305415e-31
"73",73,1.96244742275002e-31
"74",74,6.1063733611705e-32
"75",75,1.89803376824154e-32
"76",76,5.89348363214482e-33
"77",77,1.82809863529825e-33
"78",78,5.66497416845202e-34
"79",79,1.75379144129453e-34
"80",80,5.42438099191512e-35
"81",81,1.67619593310436e-35
"82",82,5.17501360976679e-36
"83",83,1.59631917363467e-36
"84",84,4.91992576201499e-37
"85",85,1.51508395469982e-37
"86",86,4.66189636469612e-38
"87",87,1.43332422743326e-38
"88",88,4.40341933490871e-39
"89",89,1.35178313240777e-39
"90",90,4.14670098160953e-40
"91",91,1.27111321840145e-40
"92",92,3.89366368774742e-41
"93",93,1.19187845736369e-41
"94",94,3.64595468274283e-42
"95",95,1.1145576901743e-42
"96",96,3.40495879962192e-43
"97",97,1.03954917036213e-43
"98",98,3.17181421993538e-44
"99",99,9.67175908669642e-45
"100",100,2.94743032517503e-45
