"date","school.closure","self.isolating.if.ill","public.events","government.makes.any.intervention","lockdown","social.distancing.encouraged"
2020-02-21,0,1,0,1,0,0
2020-02-22,0,1,0,1,0,0
2020-02-23,0,1,0,1,0,0
2020-02-24,0,1,0,1,0,0
2020-02-25,0,1,0,1,0,0
2020-02-26,0,1,0,1,0,0
2020-02-27,0,1,0,1,0,0
2020-02-28,0,1,0,1,0,0
2020-02-29,0,1,0,1,0,0
2020-03-01,0,1,0,1,0,0
2020-03-02,0,1,0,1,0,0
2020-03-04,0,1,0,1,0,0
2020-03-05,0,1,0,1,0,0
2020-03-06,0,1,0,1,0,0
2020-03-07,0,1,0,1,0,0
2020-03-08,0,1,0,1,0,0
2020-03-09,0,1,0,1,0,0
2020-03-10,0,1,0,1,0,0
2020-03-11,0,1,0,1,0,0
2020-03-12,0,1,0,1,0,0
2020-03-13,0,1,0,1,0,0
2020-03-14,0,1,0,1,0,0
2020-03-15,0,1,0,1,0,0
2020-03-16,0,1,0,1,0,0
2020-03-17,0,1,0,1,0,0
2020-03-18,1,1,0,1,0,1
2020-03-19,1,1,0,1,0,1
2020-03-20,1,1,0,1,0,1
2020-03-21,1,1,0,1,0,1
2020-03-22,1,1,0,1,0,1
2020-03-23,1,1,0,1,0,1
2020-03-24,1,1,0,1,0,1
2020-03-25,1,1,0,1,0,1
2020-03-26,1,1,0,1,0,1
2020-03-27,1,1,0,1,0,1
2020-03-28,1,1,0,1,0,1
2020-03-29,1,1,0,1,0,1
2020-03-30,1,1,0,1,0,1
2020-03-31,1,1,0,1,0,1
2020-04-01,1,1,0,1,0,1
2020-04-02,1,1,0,1,0,1
2020-04-03,1,1,0,1,0,1
2020-04-04,1,1,0,1,0,1
2020-04-05,1,1,0,1,0,1
2020-04-06,1,1,0,1,0,1
2020-04-07,1,1,0,1,0,1
2020-04-08,1,1,0,1,0,1
2020-04-09,1,1,0,1,0,1
2020-04-10,1,1,0,1,0,1
2020-04-11,1,1,0,1,0,1
2020-04-12,1,1,0,1,0,1
